Designator,Mid X,Mid Y,Layer,Rotation
C1,11.200000,-25.000000,Top,-90.000000
D3,11.900000,-37.900000,Top,90.000000
D5,21.099999,-37.900000,Top,90.000000
D7,30.299999,-37.900000,Top,90.000000
D9,39.499999,-37.900000,Top,90.000000
D12,42.699999,-12.100000,Top,-90.000000
D14,33.500000,-12.100000,Top,-90.000000
D16,24.300000,-12.100000,Top,-90.000000
D18,15.100000,-12.100000,Top,-90.000000
R3,11.900000,-34.800000,Top,90.000000
R5,21.099999,-34.800000,Top,90.000000
R7,30.299999,-34.800000,Top,90.000000
R9,39.499999,-34.800000,Top,90.000000
R12,42.699999,-15.200000,Top,-90.000000
R14,33.500000,-15.200000,Top,-90.000000
R16,24.300000,-15.200000,Top,-90.000000
R18,15.100000,-15.200000,Top,-90.000000
R21,4.300000,-34.800000,Top,90.000000
R22,8.900000,-34.800000,Top,90.000000
R24,18.100000,-34.800000,Top,90.000000
R26,27.300000,-34.800000,Top,90.000000
R28,36.500000,-34.800000,Top,90.000000
R31,45.700000,-15.200000,Top,-90.000000
R33,36.500000,-15.200000,Top,-90.000000
R35,27.300000,-15.200000,Top,-90.000000
R37,18.100000,-15.200000,Top,-90.000000
R39,8.900000,-15.200000,Top,-90.000000
SW1,4.300000,-44.000000,Top,90.000000
SW2,8.900000,-44.000000,Top,90.000000
SW4,18.100000,-44.000000,Top,90.000000
SW6,27.300000,-44.000000,Top,90.000000
SW8,36.500000,-44.000000,Top,90.000000
SW11,45.700000,-6.000000,Top,-90.000000
SW13,36.500000,-6.000000,Top,-90.000000
SW15,27.300000,-6.000000,Top,-90.000000
SW17,18.100000,-6.000000,Top,-90.000000
SW19,8.900000,-6.000000,Top,-90.000000
